simulation time,yL
23.300000,-0.002412
23.325000,-0.013412
23.350000,-0.015753
23.375000,-0.013329
23.400000,-0.004903
23.425000,0.005328
23.450000,0.002950
23.475000,0.001926
23.500000,-0.000401
23.525000,-0.001262
23.550000,-0.001736
23.575000,0.001210
23.600000,0.003945
23.625000,0.006999
23.650000,0.006821
23.675000,0.008031
23.700000,0.007297
23.725000,0.005003
23.750000,0.003532
23.775000,-0.000702
23.800000,0.000881
23.825000,0.007067
23.850000,0.000425
23.875000,-0.005897
23.900000,-0.002683
23.925000,-0.015242
23.950000,-0.015702
23.975000,-0.014025
24.000000,-0.005136
24.025000,0.005429
24.050000,0.002375
24.075000,0.001716
24.100000,-0.001684
24.125000,-0.001338
24.150000,-0.001153
24.175000,0.001910
24.200000,0.004090
24.225000,0.006413
24.250000,0.006745
24.275000,0.008224
24.300000,0.007591
24.325000,0.004784
24.350000,0.003540
24.375000,0.000186
24.400000,0.001583
24.425000,0.009705
24.450000,-0.001450
24.475000,-0.004782
24.500000,-0.001496
24.525000,-0.014815
24.550000,-0.015749
24.575000,-0.015899
24.600000,-0.005640
24.625000,0.006112
24.650000,0.002564
24.675000,0.002172
24.700000,-0.001732
24.725000,-0.001075
24.750000,-0.002277
24.775000,0.001945
24.800000,0.003627
24.825000,0.006477
24.850000,0.006896
24.875000,0.008281
24.900000,0.007690
24.925000,0.005248
24.950000,0.004846
24.975000,0.000483
25.000000,0.001131
25.025000,0.006030
25.050000,0.001470
25.075000,-0.005746
25.100000,-0.002910
25.125000,-0.015801
25.150000,-0.015778
25.175000,-0.015731
25.200000,-0.005158
25.225000,0.004912
25.250000,0.002593
25.275000,0.002564
25.300000,-0.000845
25.325000,-0.000402
25.350000,-0.001536
25.375000,0.002006
25.400000,0.003908
25.425000,0.006254
25.450000,0.006817
25.475000,0.008828
25.500000,0.007518
25.525000,0.004709
25.550000,0.004999
25.575000,0.000357
25.600000,0.001009
25.625000,0.006354
25.650000,-0.000036
25.675000,-0.009537
25.700000,-0.000013
25.725000,-0.012954
25.750000,-0.015022
25.775000,-0.013273
25.800000,-0.005215
25.825000,0.006239
25.850000,0.004350
25.875000,0.003309
25.900000,0.000734
25.925000,-0.001526
25.950000,-0.003455
25.975000,-0.001196
26.000000,0.001826
26.025000,0.006374
26.050000,0.006710
26.075000,0.008578
26.100000,0.007335
26.125000,0.004692
26.150000,0.003627
26.175000,-0.000322
26.200000,0.001176
26.225000,0.005376
26.250000,-0.000735
26.275000,-0.005936
26.300000,-0.003732
26.325000,-0.012543
26.350000,-0.014528
26.375000,-0.012418
26.400000,-0.004910
26.425000,0.004670
26.450000,0.002709
26.475000,0.001838
26.500000,-0.001051
26.525000,-0.001019
26.550000,-0.002016
26.575000,0.001678
26.600000,0.004214
26.625000,0.006781
26.650000,0.006843
26.675000,0.009087
26.700000,0.007497
26.725000,0.004279
26.750000,0.003411
26.775000,-0.000504
26.800000,0.001213
26.825000,0.006085
26.850000,-0.000664
26.875000,-0.005845
26.900000,-0.003514
26.925000,-0.013670
26.950000,-0.014129
26.975000,-0.012984
27.000000,-0.004447
27.025000,0.004435
27.050000,0.002800
27.075000,0.002371
27.100000,-0.001277
27.125000,-0.001037
27.150000,-0.001901
27.175000,0.001884
27.200000,0.004049
27.225000,0.006822
27.250000,0.007175
27.275000,0.009234
27.300000,0.007343
27.325000,0.004936
27.350000,0.003728
27.375000,-0.000842
27.400000,0.000902
27.425000,0.005950
27.450000,0.000462
27.475000,-0.008477
27.500000,-0.002401
27.525000,-0.014774
27.550000,-0.015032
27.575000,-0.014778
27.600000,-0.005473
27.625000,0.004247
27.650000,0.001495
27.675000,0.001457
27.700000,-0.001337
27.725000,-0.000167
27.750000,-0.000786
27.775000,0.002403
27.800000,0.005107
27.825000,0.006034
27.850000,0.007010
27.875000,0.007774
27.900000,0.007481
27.925000,0.004684
27.950000,0.004462
27.975000,0.000686
28.000000,0.002049
28.025000,0.007260
28.050000,-0.001305
28.075000,-0.005856
28.100000,-0.002748
28.125000,-0.014078
28.150000,-0.014241
28.175000,-0.012713
28.200000,-0.004859
28.225000,0.004327
28.250000,0.003352
28.275000,0.002269
28.300000,-0.001127
28.325000,-0.000531
28.350000,-0.001606
28.375000,0.002087
28.400000,0.004069
28.425000,0.006612
28.450000,0.007390
28.475000,0.009253
28.500000,0.007565
28.525000,0.004857
28.550000,0.003643
28.575000,-0.000918
28.600000,0.001302
28.625000,0.005648
28.650000,0.000486
28.675000,-0.010757
28.700000,-0.004237
28.725000,-0.015354
28.750000,-0.015111
28.775000,-0.012376
28.800000,-0.003251
28.825000,0.003962
28.850000,0.001920
28.875000,0.001406
28.900000,-0.000847
28.925000,-0.000098
28.950000,-0.001150
28.975000,0.001980
29.000000,0.004078
29.025000,0.006282
29.050000,0.006861
29.075000,0.007500
29.100000,0.007476
29.125000,0.004803
29.150000,0.004445
29.175000,0.000769
29.200000,0.001955
29.225000,0.007157
29.250000,-0.000436
29.275000,-0.004286
29.300000,-0.003020
29.325000,-0.013285
29.350000,-0.015429
29.375000,-0.014929
29.400000,-0.005475
29.425000,0.004921
29.450000,0.003635
29.475000,0.001687
29.500000,-0.000861
29.525000,-0.000410
29.550000,-0.001459
29.575000,0.001750
29.600000,0.003865
29.625000,0.006257
29.650000,0.007493
29.675000,0.009464
29.700000,0.007975
29.725000,0.004720
29.750000,0.003036
29.775000,-0.001007
29.800000,0.001384
29.825000,0.004448
29.850000,0.001285
29.875000,-0.007477
29.900000,-0.004201
29.925000,-0.015259
29.950000,-0.014480
29.975000,-0.013077
30.000000,-0.004422
30.025000,0.003942
30.050000,0.002162
30.075000,0.001852
30.100000,-0.000412
30.125000,-0.000029
30.150000,-0.001656
30.175000,0.002047
30.200000,0.003844
30.225000,0.005933
30.250000,0.007020
30.275000,0.008231
30.300000,0.007779
30.325000,0.005221
30.350000,0.004337
30.375000,0.000112
30.400000,0.001535
30.425000,0.002179
30.450000,-0.000664
30.475000,-0.005893
30.500000,-0.002796
30.525000,-0.011479
30.550000,-0.015187
30.575000,-0.012728
30.600000,-0.003355
30.625000,0.003484
30.650000,0.003443
30.675000,0.000899
30.700000,-0.000697
30.725000,-0.000274
30.750000,-0.001265
30.775000,0.001890
30.800000,0.004093
30.825000,0.006107
30.850000,0.006500
30.875000,0.009803
30.900000,0.007923
30.925000,0.004922
30.950000,0.003684
30.975000,0.000186
31.000000,0.001045
31.025000,0.002141
31.050000,-0.000704
31.075000,-0.007174
31.100000,-0.002734
31.125000,-0.012276
31.150000,-0.013790
31.175000,-0.013160
31.200000,-0.004942
31.225000,0.004055
31.250000,0.003952
31.275000,0.000984
31.300000,-0.001191
31.325000,-0.000143
31.350000,-0.001471
31.375000,0.001555
31.400000,0.004045
31.425000,0.005938
31.450000,0.006304
31.475000,0.008899
31.500000,0.007976
31.525000,0.005582
31.550000,0.004440
31.575000,0.000884
31.600000,0.001187
31.625000,0.001761
31.650000,0.000316
31.675000,-0.006739
31.700000,-0.002734
31.725000,-0.014104
31.750000,-0.014035
31.775000,-0.013061
31.800000,-0.005282
31.825000,0.003054
31.850000,0.003507
31.875000,0.001845
31.900000,0.000056
31.925000,0.000827
31.950000,-0.001564
31.975000,0.001767
32.000000,0.003826
32.025000,0.005935
32.050000,0.006484
32.075000,0.009208
32.100000,0.008104
32.125000,0.005364
32.150000,0.004166
32.175000,-0.000016
32.200000,0.000908
32.225000,0.001234
32.250000,-0.000962
32.275000,-0.006009
32.300000,-0.003373
32.325000,-0.012428
32.350000,-0.014242
32.375000,-0.011881
32.400000,-0.003930
32.425000,0.003629
32.450000,0.003726
32.475000,0.001387
32.500000,-0.001282
32.525000,-0.000109
32.550000,-0.002100
32.575000,0.001587
32.600000,0.004132
32.625000,0.005966
32.650000,0.006322
32.675000,0.009134
32.700000,0.008104
32.725000,0.005503
32.750000,0.004680
32.775000,0.001106
32.800000,0.000879
32.825000,0.001234
32.850000,-0.000832
32.875000,-0.006983
32.900000,-0.002463
32.925000,-0.012293
32.950000,-0.013323
32.975000,-0.012015
33.000000,-0.006364
33.025000,0.004131
33.050000,0.003430
33.075000,0.001114
33.100000,-0.001494
33.125000,-0.000088
33.150000,-0.001739
33.175000,0.001666
33.200000,0.004093
33.225000,0.005933
33.250000,0.005699
33.275000,0.008524
33.300000,0.008141
33.325000,0.005406
33.350000,0.003866
33.375000,0.000580
33.400000,0.001933
33.425000,0.001549
33.450000,-0.001660
33.475000,-0.004208
33.500000,-0.003650
33.525000,-0.011788
33.550000,-0.014888
33.575000,-0.011108
33.600000,-0.004356
33.625000,0.003297
33.650000,0.003222
33.675000,0.002204
